fecha,producto,categoria,cantidad,precio_unitario,total,cliente_id,region,vendedor
2025-09-28,Teclado Logitech,Periféricos,5,133.71,668.55,CLI-80442,Trujillo,Celia Baños-Arroyo
2024-04-06,Monitor LG,Monitores,9,2486.27,22376.43,CLI-47214,Lima Este,Ileana Antón-Andrés
2024-08-01,Impresora HP,Impresoras,9,899.6,8096.4,CLI-54657,Lima Centro,Albano Llopis Hierro
2024-09-20,Laptop HP,Laptops,9,5758.77,51828.93,CLI-41632,Arequipa,Rolando del Bernal
2024-08-20,Impresora HP,Impresoras,2,1571.18,3142.36,CLI-58887,Arequipa,Felicidad Gallego Lasa
2024-07-29,Auriculares Bose,Periféricos,2,262.05,524.1,CLI-95322,Lima Sur,Toribio de Pinto
2024-05-04,Mouse Razer,Periféricos,10,234.21,2342.1,CLI-69394,Trujillo,Casemiro Garrido-Navarro
2024-03-27,Impresora Epson,Impresoras,10,774.14,7741.4,CLI-49216,Arequipa,Jerónimo Pino Lerma
2025-11-05,Monitor LG,Monitores,7,1683.43,11784.01,CLI-42457,Lima Sur,Pánfilo Segovia Casanovas
2025-06-24,Impresora HP,Impresoras,10,708.09,7080.9,CLI-57352,Piura,César Guerrero Vazquez
2024-03-12,Monitor LG,Monitores,7,2208.34,15458.38,CLI-20740,Lima Sur,Buenaventura de Bonet
2025-08-09,SSD Samsung,Almacenamiento,3,485.75,1457.25,CLI-68479,Lima Sur,Ani Marcos Pardo
2025-02-18,Impresora HP,Impresoras,7,1341.18,9388.26,CLI-78019,Cusco,Arturo Pinto Caballero
2024-01-15,RAM Corsair,Componentes,7,598.43,4189.01,CLI-74165,Cusco,Jacobo del Agudo
2024-01-13,Monitor LG,Monitores,9,1016.11,9144.99,CLI-69993,Lima Centro,Felicidad Gallego Lasa
2024-03-18,Impresora HP,Impresoras,2,1511.15,3022.3,CLI-69694,Piura,Buenaventura de Bonet
2024-07-24,Monitor ASUS,Monitores,9,1427.86,12850.74,CLI-25566,Cusco,César Guerrero Vazquez
2024-08-08,Monitor Samsung,Monitores,6,1772.0,10632.0,CLI-15279,Chiclayo,Alba Mar Flor Rivas
2025-05-14,Monitor Samsung,Monitores,6,1318.37,7910.22,CLI-59081,Arequipa,Soraya Núñez Lamas
2025-08-21,RAM Corsair,Componentes,1,506.04,506.04,CLI-28630,Cusco,Buenaventura de Bonet
2024-01-10,Mouse Razer,Periféricos,5,103.9,519.5,CLI-74067,Lima Norte,César Guerrero Vazquez
2025-07-10,Impresora Epson,Impresoras,6,508.1,3048.6,CLI-15856,Cusco,Javi Patiño-Cánovas
2024-07-04,Mouse Razer,Periféricos,10,163.09,1630.9,CLI-54279,Cusco,Javi Patiño-Cánovas
2025-10-09,Monitor LG,Monitores,3,1658.1,4974.3,CLI-70415,Piura,Toribio de Pinto
2025-12-01,Monitor LG,Monitores,6,951.84,5711.04,CLI-91889,Cusco,Celia Baños-Arroyo
2025-06-24,Teclado Razer,Periféricos,7,235.6,1649.2,CLI-16005,Piura,Arturo Pinto Caballero
